,Tweet,Favourites,Compound,Positive,Neutral,Negative
41,"On DigitalMode; Demonetisation led to great movement towards digitisation,believes Arun Jaitley #TransformingIndia https://t.co/ssA5af1TgQ",1,0.6249,0.255,0.745,0.0
42,"@sanjayuvacha @RaisinaSeries Kissan,jawan,common man all are happy with demonetization.jalim journalsit,chor crimin… https://t.co/VY3A4s8rXh",0,0.5719,0.252,0.748,0.0
43,The latest The Demonetization Daily! https://t.co/ARioNblEsh Thanks to @ssambrani #alibaba,0,0.4926,0.262,0.738,0.0
44,"Cisco witnesses a jump business since the demonetisation move, which made it open its first global digital centre https://t.co/1gr9ycAunH",0,0.0,0.0,1.0,0.0
45,"Demonetisation and the farmers' protest. For many communities, ""short-term pain"" is fatal, economically and otherwi… https://t.co/jRROq6flfV",0,-0.8316,0.0,0.596,0.404
46,@timesofindia Seems #Demonetisation was not enough to end fake currency and terrorism. Good job Indian Army.,0,-0.7003,0.123,0.551,0.326
47,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/LnCpZ76UTF https://t.co/QRdz3Vahp8",0,0.6249,0.291,0.709,0.0
48,"@pbhushan1 Still waiting for Modi's last fatal mistake: started with Shourie not in cabinet, land acquisition bill… https://t.co/5uCm1jR9eq",0,-0.7096,0.0,0.731,0.269
49,"@ANI_news This is fake news, fake currency ended with #Demonetisation",4,-0.7351,0.0,0.563,0.437
50,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/uMkuaIDLbk https://t.co/diTCqbWepS",0,0.6249,0.291,0.709,0.0
51,"Cisco witnesses a jump business since the demonetisation move, which made it open its first global digital centre. https://t.co/FEKluOFzoq",0,0.0,0.0,1.0,0.0
52,@MangoBwoy Demonetization has destroyed FAKE CURRENCY IN OLD 500 &amp; 1000 Notes 😜,1,-0.7925,0.0,0.587,0.413
53,"Cisco growth frm Nov 2016 confirms #DigitalIndia
#Demonetisation led to great movement towards digitisation:Jaitley… https://t.co/8HQcjdso5F",0,0.7717,0.34,0.66,0.0
54,@sgurumurthy Sir still waiting for an article on benefits of demonetization.... You wrote some really fudged data then....no justification,1,0.3818,0.126,0.874,0.0
55,"Demonetisation led to great movement towards digitisation: FM @arunjaitley 
 https://t.co/PBP7W4Dck8 https://t.co/5CnFeYsGU5",0,0.6249,0.291,0.709,0.0
56,Demonetization has destroyed Fake currency apparently 😂 https://t.co/K1zxfGm93p,2,-0.743,0.0,0.442,0.558
57,"A 80yrs old trader closes the Mandi that procures Casuarina &amp; Paddy post #Demonetisation. Say's ""Too many questions &amp; trouble, enough of it""",0,-0.4019,0.0,0.886,0.114
58,@surjitbhalla More useful is to appoint a factor for demonetization.... Nothing pushed people to go digital in marc… https://t.co/sCpl3pLRnM,0,0.4927,0.158,0.842,0.0
59,China beats India to become the world’s fastest growing aviation market https://t.co/XsF4P13Y3l,0,0.1779,0.134,0.866,0.0
60,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/RJwYIG7mm6 https://t.co/78A5A6QFaG",0,0.6249,0.291,0.709,0.0
61,@srirambjp @ramkripalmp @IndianExpress Is there any document that lays out the plan in full detail? Or like demonet… https://t.co/QUrDRmTjwg,0,0.3612,0.122,0.878,0.0
62,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/1VJQeXJxqX @narendramodi https://t.co/WRgAWquoM7",0,0.6249,0.272,0.728,0.0
63,Demonetisation led to great movement towards digitisation: Arun Jaitley https://t.co/dkC8uIuuAa,0,0.6249,0.313,0.687,0.0
64,"Demonetisation led to great movement towards digitisation: @arunjaitley #DigitalIndia
https://t.co/HR3qL7zwq0 https://t.co/oQI4Qsr6NV",0,0.6249,0.291,0.709,0.0
