,Tweet,Favourites,Compound,Positive,Neutral,Negative
0,Not enough has been done IMO in looking at demonetisation role in farmer unrest. Agri markets heavily cash dependent.,188,0.0,0.0,1.0,0.0
1,"Almost all the farmers interviewed by ABP in MP and Maharashtra said,Demonetisation is the biggest blow for them. https://t.co/XuUhVDF85d",171,0.0,0.0,1.0,0.0
2,"It is amazing how Modi got away with demonetization. From farmer’s strike to overall GDP growth, its impact has hit the economy.",84,0.7096,0.238,0.706,0.056
3,@justmeandonlyuk @OwenJones84 I read The Demonetisation of the Working Class ~ Chav good book I rated him but he ch… https://t.co/3lscYksmCh,0,0.2382,0.103,0.897,0.0
4,@radiosmith Re: @planetmoney episode on #demonetisation in India. Would futures contracts have helped (for ex) the tomato farmers?,0,0.0,0.0,1.0,0.0
5,"@AdityaMenon22 BJP is the only party creating hatred and play blame game instead accepting their crimes, demonetisa… https://t.co/vnrcwKhLcr",0,0.3182,0.347,0.421,0.232
6,"""The counterbalance to technological unemployment is the demonetization of living"" - not so sure about that… https://t.co/dUjpcE530X",0,-0.6568,0.0,0.723,0.277
7,@HeerJeet @jackmurphylive @MarkDice Thank you for pointing out whiny leftist demonetization and censorship of content they don't agree with.,1,0.1002,0.116,0.787,0.098
8,Black Money Hunt Brings ‘Donations’ to AAP Under ED Scanner  https://t.co/kYOI259Zrt,0,0.0,0.0,1.0,0.0
9,@narendramodi People who don't want good things to happen in nation/ who don't want to get caught were ones fightin… https://t.co/evUOZu23RS,1,-0.431,0.0,0.788,0.212
10,"Demonetisation didn't impact growth; need clarity on inflation, says RBI Governor Urjit Patel https://t.co/6jtVr7BORb",0,0.1321,0.16,0.711,0.129
11,@SupremeDipper72 @iCrazyy08 But befikre had many flaws..it was Ranveer's star power that it took it to average stat… https://t.co/KXC9MVzXl8,0,0.0,0.0,1.0,0.0
12,Right from the start it was difficult to see how PM Modi's #DeMonetisation was going to deliver ANY benefit. 7 months on the harm is obvious,3,-0.4588,0.097,0.71,0.194
13,Understanding Demonetization https://t.co/WvbiXAtZbA via @YouTube,0,0.0,0.0,1.0,0.0
14,#cow #azan #beef #BeefBan #Sareee #DeMonetisation only now happening in #India . New #baniya #AmitShah .,0,0.0,0.0,1.0,0.0
15,@narendramodi Sir now I know how you got the idea for demonetisation by watching shivaji the boss movie. Hatsoff Si… https://t.co/00x1LxFVFr,1,0.0,0.0,1.0,0.0
16,@MattShea Demonetization,0,0.0,0.0,1.0,0.0
17,@ET_Wealth @Minal55352507 After horrible implementation of Demonetization Shakuni readying for another chaos by for… https://t.co/jgZLVvqo0R,0,-0.802,0.0,0.644,0.356
18,"Media in India, spreads chaos instead of information during demonetisation and now justifies arson in the name of farmer protest. 4th pillar",0,-0.6908,0.0,0.778,0.222
19,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/n1of0RkNxy https://t.co/gwGTxHRwGP",0,0.6249,0.291,0.709,0.0
20,"#ChaturBaniya
Few peep are against BJP, I think those people lost their money in Demonetization  😂😂😂😂",0,-0.3182,0.0,0.859,0.141
21,@TajinderBagga Will this also be as successful as Demonetisation of 1000 &amp; 500 Currency notes was? https://t.co/pMnsA7dmNh,0,0.5859,0.192,0.808,0.0
22,"Whipping boy
https://t.co/gLVp8jTuqf",0,0.0,0.0,1.0,0.0
23,"@narendramodi @AmitShah @PMOIndia @BJP4India save energy from war mongering (with China/Pakistan); invest inside
https://t.co/GSIeFSBlUN",0,-0.1027,0.252,0.476,0.271
24,just read this pathetic puff piece trying to masquerade as objective analysis. TCHAH! https://t.co/kA9mIKl4h1,0,-0.6875,0.0,0.736,0.264
25,@Rama98932870 @kiran_patniak @ChachaAbhay How much black money recovered from Demonetisation...can you tell Mr Rama… https://t.co/dToxv8vHgJ,0,0.0,0.0,1.0,0.0
26,https://t.co/437YR3bkk0 via @FinancialXpress A bit late in the day.,0,0.0,0.0,1.0,0.0
27,@RazdanNidhi @meamabhishek Sanghi rats coming out from their holes due to the  suffocation of #DeMonetisation,0,0.0,0.0,1.0,0.0
28,"Yoga day ? Der r so many things making us suffer GST to Famine, demonetisation to non-secular acts v r suffering enough! @ndtv",0,-0.784,0.0,0.712,0.288
29,3 clear acts of brinkmanship exposed Modi govt's lack of imagination 1) Mishandling Kashmir. 2) So called surgical strike. 3) Demonetization,2,-0.1935,0.108,0.668,0.224
30,"@TheOfficialSBI SBI CASH Deposit machine, 
Even after 8 months of Demonetisation still remainsthe same.
Location :… https://t.co/15WXXbC01R",0,0.0,0.0,1.0,0.0
31,ATM cash transactions are back to where they were before 8/11 &amp; POS growth linear (would be same without Demonetiza… https://t.co/DkjCAg2Bs5,5,0.3818,0.115,0.885,0.0
32,@ndtv This is the effect of Demonetisation ther is no cash dposits in banks &amp; banks have no busines and govt gave c… https://t.co/ci78uW4XXH,0,-0.5267,0.0,0.833,0.167
33,On Digital Mode Demonetisation led to great movement towards digitisation believes @arunjaitley  #TransformingIndia https://t.co/1XBvD7770f,2,0.6249,0.24,0.76,0.0
34,"Cisco witnesses a jump business since the demonetisation move, which made it open its first global digital centre. https://t.co/H9TOgvmSDq",1,0.0,0.0,1.0,0.0
35,Terrorists got it wrong. They are supposed to be in shit as funding has dried. They need to listen to #MannKiBaat  https://t.co/BEhwQLBvuN,0,-0.8957,0.0,0.638,0.362
36,@apjagga @Swamy39 @adhia03 His whole presentation in the programme @ bhubaneswar was quite evident that they r not… https://t.co/C6EynjLEXb,0,0.0,0.0,1.0,0.0
37,"Govt is like a serial killer 1st people were killed in jat protest in Haryana,then in kashmir,during demonetisation&amp;Now poor Farmers in M.P",0,-0.9081,0.077,0.494,0.429
38,"What's going on? Despite PM Narendra Modi's reform measures, why farmers are angry… https://t.co/02trDwpzWu Be Found https://t.co/ny7h6kkss8",0,0.0,0.0,1.0,0.0
39,@ndtv yet another example benefit of #DeMonetisation,0,0.4588,0.333,0.667,0.0
40,@Retributions thought u can relate it to demonetization,0,0.0,0.0,1.0,0.0
41,"https://t.co/NQ8P2tir2M
World Bank: Demonetization has hit hard 90% of India's workers",0,-0.1027,0.0,0.877,0.123
42,"At least some sense in this piece, Btw if you're looking to game the system, buy land as a farmer in MP https://t.co/zBG2gSlDpM",0,0.0,0.0,1.0,0.0
43,@PMOIndia @narendramodi @RBI @arunjaitley @SushmaSwaraj poor homework failed d bold idea #demonetization.trying 2 grab mony of NRI2save face,0,-0.5859,0.118,0.591,0.291
44,@PMOIndia @narendramodi @RBI @arunjaitley @SushmaSwaraj NDA cheated NRI #demonetization by nt giving fair chance 2 xchang old banknotes,0,0.34,0.291,0.565,0.143
45,"Despite PM Narendra Modi's reform measures, why farmers are angry https://t.co/moahSd0x4A via @indiatoday",0,-0.5106,0.0,0.784,0.216
46,"@_anujsinghal @AshDubey_ One Chatur in 3 idiots also, now politics has again chatur and 3 idiots, who did demonetis… https://t.co/4aTpofvbqk",0,0.0,0.0,1.0,0.0
47,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/CkmJXZru7w https://t.co/OcOeJo2Cdr",0,0.6249,0.291,0.709,0.0
48,@YennawarNeha @ShyamSJaju True demonetisation was great step taken by PM @narendramodi sir to control black money. #शाबाश_बीजेपी,0,0.7845,0.315,0.685,0.0
49,Demonetisation led to great movement towards digitisation: Arun Jaitley https://t.co/B7ndzAYrzl via @FinancialXpress,0,0.6249,0.272,0.728,0.0
