,Tweet,Favourites,Compound,Positive,Neutral,Negative
40,@gauravkapur I read 'crowded bank' and assumed this to be something about demonetization. Can't blame me. 🤷🏻‍♂️,0,0.2584,0.12,0.88,0.0
41,Demonetisation led to digitisation of economy: Jaitley https://t.co/hNPHOyZ20E https://t.co/Ytnn0Gw21s,0,0.0,0.0,1.0,0.0
42,"Now a Jumla from @rajnathsingh
Will 'DoubleIncome' ofFarmers by2022/throw us out

@narendramodi wanted till 30Dec for ills of Demonetization",4,0.0,0.0,1.0,0.0
43,@ShashiTharoor #and the claim made to support the Demonetisation ?,0,0.4019,0.252,0.748,0.0
44,@VishalDadlani #DeMonetisation was a stupid move which has screwed-up the economy and the cash flow in the country… https://t.co/knjwX49xH5,0,-0.5267,0.0,0.833,0.167
45,"Hey @sidby1508 why dont you help RBI count the black money recovered after #DeMonetisation,oh wait 100 percent is now back in new notes.",0,-0.3089,0.0,0.907,0.093
46,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/Ke4SHsfkCp

via NMApp55gd https://t.co/2U5vz3iR0p",0,0.6249,0.255,0.745,0.0
47,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/hyjTLTyB6D",1,0.6249,0.313,0.687,0.0
48,"No govt exists today. It is a one man show ,working based on his whims and fancies e.g. Demonetisation",0,-0.296,0.0,0.885,0.115
49,"Demonetisation led to great movement towards digitisation: @arunjaitley 
 https://t.co/lSkMrgkZOj
@AmitShahOffice https://t.co/6YtiZTk5QU",8,0.6249,0.291,0.709,0.0
50,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/cduBKpGHOZ https://t.co/GwMSwdkLlQ",0,0.6249,0.291,0.709,0.0
51,@narendramodi @arunjaitley @ncbn The feeling that the Big always get away while the small pay the price for demonet… https://t.co/ceCfkt6L3Y,0,0.0258,0.072,0.861,0.067
52,@rajnmee @IndianExpress Congress was tumour and cancer but BJP is madness. DeMonetization was shock treatment! 😱⚡⚡,0,-0.8818,0.0,0.559,0.441
53,When Amit Shah told you not to talk about stone-pelting after demonetization but Shivraj needs to save his seat!… https://t.co/kfsyMU8Yh9,0,0.68,0.195,0.805,0.0
54,@shivammishra195 @suhasinih @sardesairajdeep There has been no action against zee for running doctored videos of Ku… https://t.co/sokDzVlZh1,0,-0.296,0.0,0.879,0.121
55,"@Atheist_Krishna And rate of increase in your follower count too dropped.

Just like GDP due to demonetization.",0,0.5859,0.242,0.758,0.0
56,"@Ahmad_Shakeel Demonetisation is big blow not only for the farmers but has 
hit other sections of the Society also.",0,0.0,0.0,1.0,0.0
57,"@sekhorr @UIDAI @BJP4India @NitishKumar So, waive loans for the suits n boots and recover money via demonetization… https://t.co/Kf6xWUx1He",0,0.0,0.0,1.0,0.0
58,"The ""bakers"" are inspired by our new GDP modified figures and the RBI still counting #DeMonetisation notes!",90,0.5411,0.179,0.821,0.0
59,"#DeMonetisation led to great movement towards digitisation: Fin Minister @arunjaitley 
https://t.co/XjbUR4lh0J https://t.co/Wy0JQFKzr4",0,0.6249,0.272,0.728,0.0
60,"@BabuKunwarSingh @UIDAI @BJP4India @NitishKumar So according to you demonetisation is a scam? OMG, I rest my debate… https://t.co/AA5uwjgIy2",0,-0.5719,0.0,0.802,0.198
61,"@sekhorr @UIDAI @BJP4India @NitishKumar Yes, and what was demonetization? Loan waivers to the capitalists? Give the… https://t.co/ObOzd4RbDc",0,0.4696,0.161,0.839,0.0
62,Met a middle aged man in GTB from Aligarh. He makes components of locks. Before demonetization he used to make 40-50K/month. Now survining.,10,0.0,0.0,1.0,0.0
63,Let them do. They did same in demonetisation. GST is just one step further to demonetisation where those not regist… https://t.co/ev67O4aic1,6,0.0,0.0,1.0,0.0
64,"FDs, personal loans during demonetisation at Coop Banks, NBFCs under tax dept lens.. https://t.co/BqJLOnjgxb",0,0.0,0.0,1.0,0.0
65,"On Digital Mode; Demonetisation led to great movement towards digitisation, believes @arunjaitley #TransformingIndia https://t.co/eM4bgFFrlU",0,0.6249,0.24,0.76,0.0
66,"The corrupt are feeling the heat of demonetisation
https://t.co/cNkdn5VTTb",0,0.128,0.158,0.842,0.0
67,"#Cisco witnesses a jump business since the #demonetisation move which made it open its first #global #digital centre
https://t.co/8pr4qlWaMN",0,0.0,0.0,1.0,0.0
68,"#Cisco witnesses a jump business since the #demonetisation move which made it open its first #global #digital centre
https://t.co/wNsa556ixb",0,0.0,0.0,1.0,0.0
69,"#Cisco witnesses a jump business since the #demonetisation move which made it open its first #global #digital centre
https://t.co/o8VA2Z8Ajo",0,0.0,0.0,1.0,0.0
70,"#Cisco witnesses a jump business since the #demonetisation move which made it open its first #global #digital centre
https://t.co/dKtCO1fmdj",0,0.0,0.0,1.0,0.0
71,#economists History's 1st book of its kind site: Cannot 1 party #China demonetise like #Modi https://t.co/gp9KpsjOLS https://t.co/McfhJfV9Su,0,0.8225,0.398,0.602,0.0
72,"Demonetization: RBI governor summoned by House panel again
https://t.co/XIdWtC4uk9 https://t.co/hnb2eRixHc",1,0.0,0.0,1.0,0.0
73,FREE report: Digital Payments in India: Demonetization edition https://t.co/5d3zDsA9Gz,0,0.6166,0.335,0.665,0.0
74,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/Mn2AE2Dsbw https://t.co/R4RVs257jF",0,0.6249,0.291,0.709,0.0
75,@ShekharGupta Saw Shekhar do WTT with  a man who made walls from bartans. Not surprised when the Dhakkan pushed the… https://t.co/GSMiEdC7SS,1,0.2263,0.091,0.909,0.0
76,"Cisco witnesses a jump business since the demonetisation move, which made it open its first global digital centre. https://t.co/nPuewDSRmb",1,0.0,0.0,1.0,0.0
77,"Demonetisation led to great movement towards digitisation: @arunjaitley 
https://t.co/hugvk9Ci83
@rsprasad… https://t.co/bkTcLLbxS6",1,0.6249,0.291,0.709,0.0
78,"@JammuKashmir5 Fake currencies from pak, has stopped due to demonetisation. Terrorists forced to turn into bank looters.",0,-0.9022,0.0,0.518,0.482
79,"@kaul_vivek This..., I agree. I think the govt is fudging the data/numbers masking the weekeness in economy post demonetisation.",0,0.3612,0.135,0.865,0.0
80,PM Modi's demonetisation brings GDP down to 6.1 per cent: Top economists stand vindicated https://t.co/gRlZjyi7bV,0,0.5574,0.261,0.739,0.0
81,Demonetisation led to great movement towards digitisation: Arun Jaitley https://t.co/2k0pOvaBV5 via @FinancialXpress,2,0.6249,0.272,0.728,0.0
82,"Cisco says jump in business post demonetisation, opens first digital centre https://t.co/Xuv8naHIdm via @FinancialXpress",3,0.0,0.0,1.0,0.0
83,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/DRc7qH850R https://t.co/3o8AmJmO0Q",0,0.6249,0.291,0.709,0.0
84,Demonetisation led to movement towards digitisation: Arun Jaitley.. https://t.co/Ruk9HSfNta,0,0.0,0.0,1.0,0.0
85,"Sir who uses 1000₹ notes anyway.
Maybe ur Forbes friends dont know abt demonetisation.
Shampoo boy trolling himself… https://t.co/iG8sAKzs2U",0,0.4767,0.147,0.853,0.0
86,"@PMOIndia Post demonetization and GST implementing era,small businessman facing very very tough time practically business come down to grund",0,-0.2666,0.0,0.897,0.103
87,But they claimed Modi's Demonetisation Master Stroke has broken the back of fake note machinery. https://t.co/umqKPF4EQs,12,-0.7351,0.0,0.693,0.307
88,PM Modi's demonetisation brings GDP down to 6.1 per cent: Top economists stand vindicated,0,0.5574,0.277,0.723,0.0
89,"Arrogance after coming out from demonetization...

https://t.co/wgs3nwD0uG",0,-0.5267,0.0,0.638,0.362
90,"@narendramodi Post demonetization and GST implementing era, small businessman facing very very tough time practically business come down to",0,-0.2666,0.0,0.897,0.103
91,How #India's #Cash Chaos Is Screwing Over Their Neighbors — Oops! https://t.co/tAR8stPxXR #economy #trade #politics https://t.co/cDVCQoFvlH,2,-0.7088,0.0,0.688,0.312
92,"Demonetisation led to great movement towards digitisation: Arun Jaitley
 https://t.co/SOvNS0NYtD https://t.co/7sXC6JBQMw",2,0.6249,0.291,0.709,0.0
93,"Lot of people in India selling properties, helicopters, jets and luxury cars on https://t.co/5RqOxPJBSg and you thought demonetisation!",3,0.0,0.0,1.0,0.0
94,Demonetisation led to #39;great movement#39; towards digitisation: Arun Jaitley.. https://t.co/TXLY78EoDE,0,0.0,0.0,1.0,0.0
95,"@TVMohandasPai How can you say Most corrupt?How many convictions?CAG calculates imaginary loss of exchequer, but RB… https://t.co/QWW0jv8ZTq",0,-0.2523,0.0,0.888,0.112
96,@INCIndia With fake......ideas .... Fake demonetisation....fake rice ..... Fake egg..... finally fake PM....,2,-0.8519,0.0,0.518,0.482
97,"Demonetisation led to great movement towards digitisation: Arun Jaitley
 https://t.co/TNdCwLGLCT
@arunjaitley https://t.co/NtUtSorBHj",1,0.6249,0.272,0.728,0.0
98,Rajyavardhan Rathore: Demonetisation led to great movement towards digitisation: FM sh @arunjaitley... https://t.co/EXVEP22N2i,0,0.6249,0.255,0.745,0.0
99,"Had Modi listened to ""Man(Manmohan Singh) Ki Baat"",d disaster of demonetisation cld hv bn avoided but he listens only to his ""Mann Ki Baat""",26,-0.5023,0.0,0.838,0.162
100,#GDP slowdown? #India’s oil demand rises most since November’s demonetisation https://t.co/BwQUwrSPa4 via @S_A_Monitor,0,-0.128,0.0,0.889,0.111
101,#Economy GDP slowdown? India’s oil demand rises most since November’s demonetisation https://t.co/YeMiPNL3ER #Market,1,-0.128,0.0,0.889,0.111
102,Demonetisation led to 'great movement' towards digitisation: Arun Jaitley https://t.co/SQzQkhzAk2,6,0.6249,0.313,0.687,0.0
103,@BDUTT Sweeping statement my dear.. Remember the overwhelming positive response to the badly handled Modi demonetisation drive,0,0.128,0.166,0.691,0.143
104,"Demonetisation led to great movement towards digitisation: @arunjaitley ji
https://t.co/ru3GGHVibW https://t.co/4WxBwrur5H",12,0.6249,0.291,0.709,0.0
105,Financial Express: #GDP slowdown? #India’s oil demand rises most since November’s #demonetisation…… https://t.co/WgbpT7pPVD,0,-0.128,0.0,0.889,0.111
106,"On Digital Mode; #Demonetisation led to great movement towards digitisation, believes ArunJaitley.#TransformingIndia https://t.co/RVbPwrN0RX",0,0.6249,0.255,0.745,0.0
107,"Demonetisation led to 'great movement' towards digitisation: Arun Jaitley
visit:https://t.co/z7ZYtZMvK3 or Missed c… https://t.co/g3CDFkknNc",0,0.4404,0.224,0.656,0.12
108,@PIBPersMin  Navneet after demonetisation lot of income tax raid on powerful corrupt across county pls give wide publicity @DrJitendraSingh,0,0.4767,0.194,0.806,0.0
109,"Cisco witnesses a jump business since the demonetisation move, which made it open its first global digital centre. https://t.co/x2Zf5r6c6M",0,0.0,0.0,1.0,0.0
110,"Demonetisation led to 'great movement' towards digitisation: Arun Jaitley
https://t.co/PFtEuwQNOQ  or Missed Call at 8306308308",0,0.4404,0.212,0.674,0.114
111,"#Demonetization led to 'great movement' towards digitisation: #ArunJaitley
https://t.co/bTH9qtZ9L8 https://t.co/5FMdBgfdW8",0,0.6249,0.313,0.687,0.0
112,"Cases Of Sudden Spike In Income Would Be Identify By I-T Department.
https://t.co/38mqeSXqUe
#Demonetisation #ITDept https://t.co/19B75OZCqf",0,0.0,0.0,1.0,0.0
113,Demonetisation led to movement towards digitisation: Arun Jaitley - https://t.co/7yrYYRP9j2 https://t.co/B1CtlSrxtJ,0,0.0,0.0,1.0,0.0
114,"Demonetisation led to great movement towards digitisation: Arun Jaitley
 https://t.co/MfFEJR7lap https://t.co/L4XaUK7Dn8",0,0.6249,0.291,0.709,0.0
115,"It almost did but thks to #Demonetisation No
#Onlinebanking will kill physical #banks in 5-6 years: #Kant #NitiAyog
https://t.co/5hoGaftRDb",0,-0.8246,0.096,0.57,0.333
116,#Demonetisation led to great movement towards digitisation: Sh @arunjaitley ji https://t.co/fYtVCaAalb,0,0.6249,0.291,0.709,0.0
117,"@AmitTrds @IndiaSpend I pray, no more of #Demonetisation disaster pl @AmitTrds Tks",0,-0.6444,0.136,0.474,0.389
118,@savanisri @mediacrooks @manojkedia07 @INCIndia @ndtv @IndiaToday @TimesNow @republic @BJP4India Agreed.Bt farmers… https://t.co/WJcpEeQQzb,0,0.0,0.0,1.0,0.0
119,The great Economist @sgurumurthy who CORRECTLY predicted in Jan17 that Demonetisation benefits would reach people from April2017.,2,0.7783,0.358,0.642,0.0
120,"Demonetisation led to a 'Substantial Movement' towards Digitisation, says Arun Jaitley https://t.co/TeKw0JUMDF",0,0.2023,0.153,0.847,0.0
